GUEST_ACTIVITY_DATE,TRIP_TYPE,PROPERTY_CD,OTHER_TIME_PLAYED_IN_MIN
24-05-2018,PROPERTY,HLT,263
24-05-2018,MARKET,,263
24-05-2018,ENTERPRISE,,263
17-06-2018,ENTERPRISE,,492
17-06-2018,MARKET,,492
17-06-2018,PROPERTY,HLT,492
18-06-2018,ENTERPRISE,,116
18-06-2018,MARKET,,116
18-06-2018,PROPERTY,HLT,116
02-07-2018,MARKET,,257
02-07-2018,ENTERPRISE,,257
02-07-2018,PROPERTY,HLT,257
03-07-2018,MARKET,,396
03-07-2018,PROPERTY,HLT,396
03-07-2018,ENTERPRISE,,396
04-07-2018,MARKET,,483
04-07-2018,ENTERPRISE,,483
04-07-2018,PROPERTY,HLT,483
08-07-2018,MARKET,,290
08-07-2018,ENTERPRISE,,290
08-07-2018,PROPERTY,HLT,290
09-07-2018,MARKET,,281
09-07-2018,ENTERPRISE,,281
09-07-2018,PROPERTY,HLT,281
10-07-2018,MARKET,,72
10-07-2018,ENTERPRISE,,72
10-07-2018,PROPERTY,HLT,72
11-07-2018,MARKET,,492
11-07-2018,ENTERPRISE,,492
11-07-2018,PROPERTY,HLT,492
12-07-2018,PROPERTY,HLT,277
12-07-2018,MARKET,,277
12-07-2018,ENTERPRISE,,277
15-07-2018,MARKET,,490
15-07-2018,PROPERTY,HLT,490
15-07-2018,ENTERPRISE,,490
16-07-2018,MARKET,,583
16-07-2018,PROPERTY,HLT,583
16-07-2018,ENTERPRISE,,583
17-07-2018,MARKET,,352
17-07-2018,PROPERTY,HLT,352
17-07-2018,ENTERPRISE,,352
18-07-2018,ENTERPRISE,,694
18-07-2018,MARKET,,694
18-07-2018,PROPERTY,HLT,694
22-07-2018,MARKET,,367
22-07-2018,PROPERTY,HLT,367
22-07-2018,ENTERPRISE,,367
23-07-2018,MARKET,,480
23-07-2018,ENTERPRISE,,480
23-07-2018,PROPERTY,HLT,480
24-07-2018,ENTERPRISE,,0
24-07-2018,MARKET,,0
24-07-2018,PROPERTY,HLT,0
28-07-2018,MARKET,,397
28-07-2018,PROPERTY,HLT,397
28-07-2018,ENTERPRISE,,397
29-07-2018,PROPERTY,HLT,658
29-07-2018,MARKET,,658
29-07-2018,ENTERPRISE,,658
30-07-2018,PROPERTY,HLT,325
30-07-2018,ENTERPRISE,,325
30-07-2018,MARKET,,325
31-07-2018,MARKET,,712
31-07-2018,ENTERPRISE,,712
31-07-2018,PROPERTY,HLT,712
01-08-2018,PROPERTY,HLT,612
01-08-2018,ENTERPRISE,,612
01-08-2018,MARKET,,612
02-08-2018,MARKET,,590
02-08-2018,ENTERPRISE,,590
02-08-2018,PROPERTY,HLT,590
05-08-2018,PROPERTY,HLT,392
05-08-2018,MARKET,,392
05-08-2018,ENTERPRISE,,392
06-08-2018,PROPERTY,HLT,410
06-08-2018,MARKET,,410
06-08-2018,ENTERPRISE,,410
07-08-2018,ENTERPRISE,,531
07-08-2018,MARKET,,531
07-08-2018,PROPERTY,HLT,531
14-08-2018,PROPERTY,HLT,315
14-08-2018,MARKET,,315
14-08-2018,ENTERPRISE,,315
15-08-2018,PROPERTY,HLT,631
15-08-2018,MARKET,,631
15-08-2018,ENTERPRISE,,631
16-08-2018,PROPERTY,HLT,584
16-08-2018,MARKET,,584
16-08-2018,ENTERPRISE,,584
19-08-2018,PROPERTY,HLT,286
19-08-2018,ENTERPRISE,,286
19-08-2018,MARKET,,286
20-08-2018,PROPERTY,HLT,285
20-08-2018,ENTERPRISE,,285
20-08-2018,MARKET,,285
21-08-2018,MARKET,,628
21-08-2018,ENTERPRISE,,628
21-08-2018,PROPERTY,HLT,628
22-08-2018,MARKET,,737
22-08-2018,PROPERTY,HLT,737
22-08-2018,ENTERPRISE,,737
23-08-2018,ENTERPRISE,,1187
23-08-2018,PROPERTY,HLT,1187
23-08-2018,MARKET,,1187
27-08-2018,PROPERTY,HLT,170
27-08-2018,MARKET,,170
27-08-2018,ENTERPRISE,,170
28-08-2018,MARKET,,364
28-08-2018,ENTERPRISE,,364
28-08-2018,PROPERTY,HLT,364
29-08-2018,MARKET,,485
29-08-2018,ENTERPRISE,,485
29-08-2018,PROPERTY,HLT,485
30-08-2018,PROPERTY,HLT,0
30-08-2018,MARKET,,0
30-08-2018,ENTERPRISE,,0
05-09-2018,ENTERPRISE,,412
05-09-2018,MARKET,,412
05-09-2018,PROPERTY,HLT,412
06-09-2018,ENTERPRISE,,387
06-09-2018,MARKET,,387
06-09-2018,PROPERTY,HLT,387
27-02-2019,PROPERTY,NOR,335
27-02-2019,MARKET,,335
27-02-2019,ENTERPRISE,,335
19-04-2019,PROPERTY,CLV,0
19-04-2019,ENTERPRISE,,0
19-04-2019,MARKET,,0
08-05-2019,ENTERPRISE,,116
08-05-2019,MARKET,,116
08-05-2019,PROPERTY,LAU,116
10-05-2019,PROPERTY,CLV,246
10-05-2019,MARKET,,246
10-05-2019,ENTERPRISE,,246
05-06-2019,MARKET,,120
05-06-2019,PROPERTY,RLV,120
05-06-2019,ENTERPRISE,,120
06-06-2019,MARKET,,180
06-06-2019,ENTERPRISE,,180
06-06-2019,PROPERTY,RLV,180
07-06-2019,MARKET,,60
07-06-2019,PROPERTY,RLV,60
07-06-2019,ENTERPRISE,,60
11-06-2019,ENTERPRISE,,120
11-06-2019,MARKET,,120
11-06-2019,PROPERTY,RLV,120
12-06-2019,PROPERTY,RLV,60
12-06-2019,ENTERPRISE,,60
12-06-2019,MARKET,,60
13-06-2019,PROPERTY,RLV,120
13-06-2019,ENTERPRISE,,120
13-06-2019,MARKET,,120
14-06-2019,ENTERPRISE,,135
14-06-2019,MARKET,,135
14-06-2019,PROPERTY,HLT,135
15-06-2019,MARKET,,120
15-06-2019,PROPERTY,HLT,364
15-06-2019,PROPERTY,RLV,120
15-06-2019,MARKET,,364
15-06-2019,ENTERPRISE,,484
16-06-2019,MARKET,,495
16-06-2019,PROPERTY,HLT,495
16-06-2019,ENTERPRISE,,495
17-06-2019,MARKET,,421
17-06-2019,PROPERTY,HLT,421
17-06-2019,ENTERPRISE,,421
18-06-2019,PROPERTY,HLT,490
18-06-2019,MARKET,,490
18-06-2019,ENTERPRISE,,490
19-06-2019,ENTERPRISE,,405
19-06-2019,PROPERTY,RLV,60
19-06-2019,MARKET,,60
19-06-2019,MARKET,,345
19-06-2019,PROPERTY,HLT,345
20-06-2019,PROPERTY,HLT,138
20-06-2019,ENTERPRISE,,198
20-06-2019,PROPERTY,RLV,60
20-06-2019,MARKET,,60
20-06-2019,MARKET,,138
21-06-2019,ENTERPRISE,,42
21-06-2019,MARKET,,42
21-06-2019,PROPERTY,HLT,42
22-06-2019,PROPERTY,HLT,385
22-06-2019,MARKET,,385
22-06-2019,ENTERPRISE,,385
23-06-2019,ENTERPRISE,,596
23-06-2019,PROPERTY,HLT,596
23-06-2019,MARKET,,596
24-06-2019,ENTERPRISE,,326
24-06-2019,MARKET,,326
24-06-2019,PROPERTY,HLT,326
25-06-2019,MARKET,,475
25-06-2019,PROPERTY,HLT,475
25-06-2019,ENTERPRISE,,475
26-06-2019,MARKET,,614
26-06-2019,PROPERTY,HLT,614
26-06-2019,ENTERPRISE,,614
01-07-2019,MARKET,,616
01-07-2019,ENTERPRISE,,616
01-07-2019,PROPERTY,HLT,616
02-07-2019,MARKET,,578
02-07-2019,PROPERTY,HLT,578
02-07-2019,ENTERPRISE,,578
08-07-2019,PROPERTY,HLT,94
08-07-2019,ENTERPRISE,,94
08-07-2019,MARKET,,94
09-07-2019,MARKET,,628
09-07-2019,PROPERTY,HLT,628
09-07-2019,ENTERPRISE,,628
10-07-2019,ENTERPRISE,,804
10-07-2019,MARKET,,804
10-07-2019,PROPERTY,HLT,804
11-07-2019,ENTERPRISE,,322
11-07-2019,MARKET,,322
11-07-2019,PROPERTY,HLT,322
12-07-2019,ENTERPRISE,,494
12-07-2019,PROPERTY,HLT,494
12-07-2019,MARKET,,494
13-07-2019,PROPERTY,HLT,930
13-07-2019,ENTERPRISE,,930
13-07-2019,MARKET,,930
14-07-2019,PROPERTY,HLT,614
14-07-2019,ENTERPRISE,,614
14-07-2019,MARKET,,614
15-07-2019,PROPERTY,HLT,455
15-07-2019,MARKET,,455
15-07-2019,ENTERPRISE,,455
15-07-2019,PROPERTY,TAH,0
16-07-2019,MARKET,,130
16-07-2019,PROPERTY,TAH,0
16-07-2019,ENTERPRISE,,130
16-07-2019,PROPERTY,HLT,130
17-07-2019,MARKET,,635
17-07-2019,PROPERTY,HLT,635
17-07-2019,ENTERPRISE,,635
18-07-2019,PROPERTY,TAH,0
18-07-2019,MARKET,,60
18-07-2019,PROPERTY,RLV,60
18-07-2019,MARKET,,458
18-07-2019,PROPERTY,HLT,458
18-07-2019,ENTERPRISE,,518
19-07-2019,ENTERPRISE,,106
19-07-2019,MARKET,,106
19-07-2019,PROPERTY,HLT,106
20-07-2019,MARKET,,384
20-07-2019,PROPERTY,HLT,384
20-07-2019,ENTERPRISE,,384
21-07-2019,PROPERTY,TAH,0
21-07-2019,ENTERPRISE,,301
21-07-2019,PROPERTY,HLT,301
21-07-2019,MARKET,,301
22-07-2019,MARKET,,332
22-07-2019,ENTERPRISE,,332
22-07-2019,PROPERTY,HLT,332
23-07-2019,PROPERTY,HLT,507
23-07-2019,ENTERPRISE,,507
23-07-2019,MARKET,,507
24-07-2019,MARKET,,618
24-07-2019,ENTERPRISE,,618
24-07-2019,PROPERTY,HLT,618
25-07-2019,ENTERPRISE,,420
25-07-2019,MARKET,,420
25-07-2019,PROPERTY,HLT,420
26-07-2019,MARKET,,345
26-07-2019,PROPERTY,HLT,345
26-07-2019,ENTERPRISE,,345
27-07-2019,ENTERPRISE,,344
27-07-2019,PROPERTY,HLT,344
27-07-2019,MARKET,,344
28-07-2019,MARKET,,249
28-07-2019,ENTERPRISE,,249
28-07-2019,PROPERTY,HLT,249
29-07-2019,MARKET,,568
29-07-2019,PROPERTY,HLT,568
29-07-2019,ENTERPRISE,,568
30-07-2019,PROPERTY,HLT,573
30-07-2019,ENTERPRISE,,573
30-07-2019,MARKET,,573
31-07-2019,MARKET,,514
31-07-2019,PROPERTY,TAH,0
31-07-2019,PROPERTY,HLT,514
31-07-2019,ENTERPRISE,,514
01-08-2019,ENTERPRISE,,332
01-08-2019,MARKET,,332
01-08-2019,PROPERTY,HLT,332
02-08-2019,PROPERTY,HLT,0
02-08-2019,MARKET,,0
02-08-2019,ENTERPRISE,,0
03-08-2019,PROPERTY,HLT,193
03-08-2019,ENTERPRISE,,193
03-08-2019,MARKET,,193
04-08-2019,ENTERPRISE,,321
04-08-2019,PROPERTY,HLT,321
04-08-2019,MARKET,,321
05-08-2019,ENTERPRISE,,78
05-08-2019,MARKET,,78
05-08-2019,PROPERTY,HLT,78
10-08-2019,PROPERTY,HLT,0
10-08-2019,MARKET,,0
10-08-2019,ENTERPRISE,,0
11-08-2019,PROPERTY,HLT,287
11-08-2019,MARKET,,287
11-08-2019,ENTERPRISE,,287
12-08-2019,PROPERTY,HLT,144
12-08-2019,MARKET,,144
12-08-2019,ENTERPRISE,,144
13-08-2019,ENTERPRISE,,518
13-08-2019,PROPERTY,HLT,518
13-08-2019,MARKET,,518
18-08-2019,ENTERPRISE,,201
18-08-2019,PROPERTY,HLT,201
18-08-2019,MARKET,,201
19-08-2019,MARKET,,620
19-08-2019,PROPERTY,HLT,620
19-08-2019,ENTERPRISE,,620
20-08-2019,ENTERPRISE,,449
20-08-2019,PROPERTY,HLT,449
20-08-2019,MARKET,,449
21-08-2019,ENTERPRISE,,463
21-08-2019,PROPERTY,HLT,463
21-08-2019,MARKET,,463
22-08-2019,PROPERTY,HLT,458
22-08-2019,MARKET,,458
22-08-2019,ENTERPRISE,,458
23-08-2019,ENTERPRISE,,386
23-08-2019,PROPERTY,HLT,386
23-08-2019,MARKET,,386
24-08-2019,ENTERPRISE,,628
24-08-2019,MARKET,,628
24-08-2019,PROPERTY,HLT,628
25-08-2019,ENTERPRISE,,264
25-08-2019,PROPERTY,HLT,264
25-08-2019,MARKET,,264
26-08-2019,PROPERTY,HLT,462
26-08-2019,MARKET,,462
26-08-2019,ENTERPRISE,,462
27-08-2019,PROPERTY,HLT,283
27-08-2019,MARKET,,283
27-08-2019,ENTERPRISE,,283
28-08-2019,MARKET,,594
28-08-2019,ENTERPRISE,,594
28-08-2019,PROPERTY,HLT,594
29-08-2019,MARKET,,225
29-08-2019,ENTERPRISE,,225
29-08-2019,PROPERTY,HLT,225
30-08-2019,PROPERTY,HLT,309
30-08-2019,MARKET,,309
30-08-2019,ENTERPRISE,,309
31-08-2019,MARKET,,572
31-08-2019,ENTERPRISE,,572
31-08-2019,PROPERTY,HLT,572
01-09-2019,PROPERTY,HLT,553
01-09-2019,MARKET,,553
01-09-2019,ENTERPRISE,,553
08-09-2019,MARKET,,0
08-09-2019,PROPERTY,TRW,0
08-09-2019,ENTERPRISE,,0
09-09-2019,MARKET,,0
09-09-2019,PROPERTY,TRW,0
09-09-2019,ENTERPRISE,,0
10-09-2019,MARKET,,0
10-09-2019,MARKET,,268
10-09-2019,PROPERTY,TAH,0
10-09-2019,PROPERTY,TRW,0
10-09-2019,ENTERPRISE,,268
10-09-2019,PROPERTY,HLT,268
11-09-2019,ENTERPRISE,,420
11-09-2019,PROPERTY,HLT,420
11-09-2019,MARKET,,420
11-09-2019,PROPERTY,TAH,0
12-09-2019,MARKET,,0
12-09-2019,ENTERPRISE,,0
12-09-2019,PROPERTY,TRW,0
13-09-2019,MARKET,,0
13-09-2019,ENTERPRISE,,0
13-09-2019,PROPERTY,TRW,0
14-09-2019,MARKET,,0
14-09-2019,PROPERTY,TRW,0
14-09-2019,ENTERPRISE,,70
14-09-2019,PROPERTY,TAH,0
14-09-2019,PROPERTY,HLT,70
14-09-2019,MARKET,,70
15-09-2019,PROPERTY,HLT,421
15-09-2019,ENTERPRISE,,421
15-09-2019,PROPERTY,TAH,0
15-09-2019,MARKET,,421
16-09-2019,MARKET,,150
16-09-2019,ENTERPRISE,,150
16-09-2019,PROPERTY,HLT,150
17-09-2019,ENTERPRISE,,459
17-09-2019,PROPERTY,HLT,459
17-09-2019,PROPERTY,TAH,0
17-09-2019,MARKET,,459
18-09-2019,MARKET,,179
18-09-2019,ENTERPRISE,,179
18-09-2019,PROPERTY,HLT,179
19-09-2019,PROPERTY,TRW,0
19-09-2019,ENTERPRISE,,0
19-09-2019,MARKET,,0
20-09-2019,MARKET,,0
20-09-2019,PROPERTY,TRW,0
20-09-2019,ENTERPRISE,,0
21-09-2019,PROPERTY,HLT,81
21-09-2019,MARKET,,0
21-09-2019,PROPERTY,TRW,0
21-09-2019,ENTERPRISE,,81
21-09-2019,MARKET,,81
22-09-2019,ENTERPRISE,,316
22-09-2019,MARKET,,316
22-09-2019,PROPERTY,HLT,316
23-09-2019,PROPERTY,HLT,294
23-09-2019,MARKET,,294
23-09-2019,ENTERPRISE,,294
24-09-2019,ENTERPRISE,,397
24-09-2019,PROPERTY,HLT,397
24-09-2019,MARKET,,397
25-09-2019,PROPERTY,TAH,0
25-09-2019,PROPERTY,HLT,216
25-09-2019,MARKET,,216
25-09-2019,ENTERPRISE,,216
28-09-2019,MARKET,,0
28-09-2019,PROPERTY,TRW,0
28-09-2019,ENTERPRISE,,0
29-09-2019,MARKET,,0
29-09-2019,MARKET,,0
29-09-2019,PROPERTY,TRW,0
29-09-2019,ENTERPRISE,,0
29-09-2019,PROPERTY,TAH,0
30-09-2019,PROPERTY,HLT,185
30-09-2019,PROPERTY,TAH,0
30-09-2019,MARKET,,185
30-09-2019,ENTERPRISE,,185
01-10-2019,PROPERTY,TAH,0
01-10-2019,PROPERTY,HLT,267
01-10-2019,ENTERPRISE,,267
01-10-2019,MARKET,,267
02-10-2019,ENTERPRISE,,409
02-10-2019,PROPERTY,TAH,0
02-10-2019,MARKET,,409
02-10-2019,PROPERTY,HLT,409
03-10-2019,PROPERTY,TRW,0
03-10-2019,PROPERTY,TAH,0
03-10-2019,MARKET,,0
03-10-2019,MARKET,,0
03-10-2019,ENTERPRISE,,0
04-10-2019,PROPERTY,TRW,0
04-10-2019,MARKET,,0
04-10-2019,ENTERPRISE,,0
05-10-2019,PROPERTY,TRW,0
05-10-2019,MARKET,,0
05-10-2019,ENTERPRISE,,0
06-10-2019,PROPERTY,TAH,120
06-10-2019,PROPERTY,HLT,240
06-10-2019,MARKET,,360
06-10-2019,ENTERPRISE,,360
07-10-2019,MARKET,,454
07-10-2019,PROPERTY,HLT,454
07-10-2019,ENTERPRISE,,454
10-10-2019,PROPERTY,TRW,0
10-10-2019,PROPERTY,HLT,240
10-10-2019,MARKET,,240
10-10-2019,MARKET,,0
10-10-2019,ENTERPRISE,,240
11-10-2019,MARKET,,0
11-10-2019,PROPERTY,TRW,0
11-10-2019,ENTERPRISE,,0
12-10-2019,PROPERTY,TRW,0
12-10-2019,MARKET,,0
12-10-2019,ENTERPRISE,,0
13-10-2019,ENTERPRISE,,0
13-10-2019,PROPERTY,TRW,0
13-10-2019,MARKET,,0
19-10-2019,ENTERPRISE,,480
19-10-2019,MARKET,,480
19-10-2019,PROPERTY,CLV,480
26-10-2019,PROPERTY,FLV,240
26-10-2019,PROPERTY,CLV,420
26-10-2019,MARKET,,660
26-10-2019,ENTERPRISE,,660
01-11-2019,PROPERTY,TRW,0
01-11-2019,ENTERPRISE,,0
01-11-2019,MARKET,,0
03-11-2019,ENTERPRISE,,264
03-11-2019,PROPERTY,TRW,0
03-11-2019,MARKET,,0
03-11-2019,PROPERTY,TAH,0
03-11-2019,PROPERTY,HLT,264
03-11-2019,MARKET,,264
04-11-2019,ENTERPRISE,,329
04-11-2019,PROPERTY,HLT,329
04-11-2019,MARKET,,329
05-11-2019,MARKET,,604
05-11-2019,PROPERTY,HLT,604
05-11-2019,ENTERPRISE,,604
06-11-2019,MARKET,,86
06-11-2019,PROPERTY,HLT,86
06-11-2019,ENTERPRISE,,86
07-11-2019,MARKET,,0
07-11-2019,PROPERTY,TRW,0
07-11-2019,ENTERPRISE,,0
08-11-2019,PROPERTY,TRW,0
08-11-2019,ENTERPRISE,,0
08-11-2019,MARKET,,0
09-11-2019,ENTERPRISE,,0
09-11-2019,MARKET,,0
09-11-2019,PROPERTY,TRW,0
10-11-2019,ENTERPRISE,,0
10-11-2019,MARKET,,0
10-11-2019,PROPERTY,TRW,0
16-11-2019,MARKET,,720
16-11-2019,PROPERTY,CLV,720
16-11-2019,ENTERPRISE,,720
17-11-2019,PROPERTY,CLV,180
17-11-2019,PROPERTY,FLV,360
17-11-2019,PROPERTY,LAS,300
17-11-2019,ENTERPRISE,,840
17-11-2019,MARKET,,840
23-11-2019,MARKET,,960
23-11-2019,PROPERTY,CLV,480
23-11-2019,ENTERPRISE,,960
23-11-2019,PROPERTY,FLV,240
23-11-2019,PROPERTY,LAS,240
24-11-2019,ENTERPRISE,,720
24-11-2019,PROPERTY,CLV,300
24-11-2019,MARKET,,720
24-11-2019,PROPERTY,LAS,420
30-11-2019,MARKET,,1740
30-11-2019,PROPERTY,LAS,720
30-11-2019,PROPERTY,CLV,780
30-11-2019,PROPERTY,FLV,240
30-11-2019,ENTERPRISE,,1740
07-12-2019,MARKET,,900
07-12-2019,PROPERTY,CLV,300
07-12-2019,ENTERPRISE,,900
07-12-2019,PROPERTY,LAS,600
13-12-2019,PROPERTY,RLV,0
13-12-2019,MARKET,,0
13-12-2019,ENTERPRISE,,0
14-12-2019,PROPERTY,PLV,120
14-12-2019,PROPERTY,FLV,240
14-12-2019,ENTERPRISE,,1370
14-12-2019,PROPERTY,BLV,240
14-12-2019,PROPERTY,CLV,480
14-12-2019,MARKET,,1370
14-12-2019,PROPERTY,PHV,290
15-12-2019,MARKET,,364
15-12-2019,ENTERPRISE,,364
15-12-2019,PROPERTY,PHV,364
21-12-2019,PROPERTY,FLV,240
21-12-2019,PROPERTY,PLV,300
21-12-2019,PROPERTY,CLV,720
21-12-2019,PROPERTY,BLV,480
21-12-2019,ENTERPRISE,,2040
21-12-2019,MARKET,,2040
21-12-2019,PROPERTY,LAS,300
22-12-2019,ENTERPRISE,,0
22-12-2019,MARKET,,0
22-12-2019,PROPERTY,RLV,0
28-12-2019,ENTERPRISE,,0
28-12-2019,MARKET,,0
28-12-2019,PROPERTY,RLV,0
17-01-2020,PROPERTY,CLV,0
17-01-2020,ENTERPRISE,,0
17-01-2020,MARKET,,0
18-01-2020,MARKET,,0
18-01-2020,ENTERPRISE,,0
18-01-2020,PROPERTY,RLV,0
22-01-2020,PROPERTY,CLV,0
22-01-2020,MARKET,,0
22-01-2020,ENTERPRISE,,0
23-01-2020,PROPERTY,ILV,0
23-01-2020,MARKET,,146
